Name,area,population,density
CA NUOC,330957.6,88145.83,266.34
Dong bang song Hong,21068.1,20216.81,959.59
Ha Noi,3328.9,6825.82,2050.47
Vinh Phuc,1236.5,1029.5,832.59
Bac Ninh,822.7,1072.38,1303.49
Quang Ninh,6102.4,1181.53,193.62
Hai Duong,1656,1747.83,1055.45
Hai Phuong,1523.4,1886.2,1238.15
Hung Yen,926,1150.74,1242.7
Thai Binh,1570,1798.66,1145.65
Ha Nam,860.5,795.65,924.63
Nam Dinh,1651.4,1816.81,1100.16
Ninh Binh,1390.3,911.69,655.75
Trung du va mien nui phia Bac,95264.4,11311.41,118.74
Ha Giang,7914.9,749.54,94.7
Cao Bang,6707.9,514.02,76.63
Bac Kan,4859.4,298.69,61.47
Tuyen Quang,5867.3,733.6,125.03
Lao Cai,6383.9,638.15,99.96
Yen Bai,6886.3,758.65,110.17
Thai Nguyen,3531.7,1139.44,322.63
Lang Son,8320.8,740.91,89.04
Bac Giang,3844,1586.02,412.6
Phu Tho,3533.4,1329.34,376.22
Dien Bien,9562.9,512.8,53.62
Lai Chau,9068.8,392.88,43.32
Son La,14174.4,1115.21,78.68
Hoa Binh,4608.7,802.18,174.06
Bac Trung Bo va Duyen hai mien Trung,95838,19116.29,199.46
Thanh Hoa,11131.9,3427.59,307.91
Nghe An,16493.7,2996.14,181.65
Ha Tinh,5997.2,1236.71,206.21
Quang Binh,8065.3,854.57,105.96
Quang Tri,4739.8,604.72,127.58
Thua Thien Hue,5033.2,1100.77,218.7
Da Nang,1285.4,968.65,753.58
Quang Nam,10438.4,1436.83,137.65
Quang Ngai,5153,1220.12,236.78
Binh Dinh,6050.6,1487.46,245.84
Phu Yen,5060.6,863.96,170.72
Khanh Hoa,5217.7,1170.24,224.28
Ninh Thuan,3358.3,567.85,169.09
Binh Thuan,7812.9,1180.68,151.12
Tay Nguyen,54641,5278.04,96.59
Kon Tum,9689.6,451.61,46.61
Gia Lai,15536.9,1336.1,86
Dak Lak,13125.4,1760.42,134.12
Dak Nong,6515.6,512.67,78.68
Lam Dong,9773.5,1217.24,124.54
Dong Nam Bo,23597.9,15005.55,635.89
Binh Phuoc,6871.5,899.57,130.91
Tay Ninh,4039.7,1090.06,269.84
Binh Duong,2694.4,1699.93,630.91
Dong Nai,5907.2,2661.78,450.6
Ba Ria - Vung Tau,1989.5,1040.8,523.14
Ho Chi Minh,2095.6,7613.43,3633.05
Dong bang song Cuu Long,40548.2,17217.72,424.62
Long An,4492.4,1504.08,334.81
Tien Giang,2508.3,1682.6,670.81
Ben Tre,2360.6,1262.66,534.89
Tra Vinh,2341.2,1004.35,428.99
Vinh Long,1496.8,1024.85,684.69
Dong Thap,3377,1653.23,489.56
An Giang,3536.7,2097.54,593.08
Kien Giang,6348.5,1694.45,266.91
Can Tho,1409,1195.93,848.78
Hau Giang,1602.5,752.73,469.72
Soc Trang,3311.6,1273.93,384.69
Bac Lieu,2468.7,866.87,351.15
Ca Mau,5294.9,1204.5,227.48
