code,name,area,population,density
1,Ha Noi,3359.82,8330.83,2480
26,Vinh Phuc,1236,1191.78,964
27,Bac Ninh,822.71,1462.95,1778
22,Quang Ninh,6207.79,1350.85,218
30,Hai Duong,1668.28,1936.78,1161
31,Hai Phong,1526.52,2072.39,1358
33,Hung Yen,930.2,1284.55,1381
34,Thai Binh,1584.61,1875.66,1184
35,Ha Nam,861.93,875.22,1015
36,Nam Dinh,1668.83,1836.27,1100
37,Ninh Binh,1411.78,1007.57,714
2,Ha Giang,7927.55,887.09,112
4,Cao Bang,6700.39,542.22,81
6,Bac Kan,4859.96,323.71,67
8,Tuyen Quang,5867.95,801.67,137
10,Lao Cai,6364.25,761.89,120
15,Yen Bai,6892.67,842.67,122
19,Thai Nguyen,3521.96,1323.15,376
20,Lang Son,8310.18,796.94,96
24,Bac Giang,3895.89,1875.24,481
25,Phu Tho,3534.56,1507.54,427
11,Dien Bien,9539.92,625.09,66
12,Lai Chau,9068.73,478.43,53
14,Son La,14109.83,1287.72,91
17,Hoa Binh,4590.3,871.72,190
38,Thanh Hoa,11114.71,3716.43,334
40,Nghe An,16486.5,3409.81,207
42,Ha Tinh,5994.45,1314.06,219
44,Quang Binh,7998.76,910.66,114
45,Quang Tri,4701.23,647.79,138
46,Thua Thien Hue,4947.11,1153.8,233
48,Da Nang,1284.73,1195.49,931
49,Quang Nam,10574.86,1518.48,144
51,Quang Ngai,5155.25,1244.13,241
52,Binh Dinh,6066.4,1508.32,249
54,Phu Yen,5025.96,875.54,174
56,Khanh Hoa,5199.62,1248.06,240
58,Ninh Thuan,3355.34,596.05,178
60,Binh Thuan,7942.6,1246.31,157
62,Kon Tum,9677.3,568.78,59
64,Gia Lai,15510.13,1569.72,101
66,Dak Lak,13070.41,1909,146
67,Dak Nong,6509.27,664.42,102
68,Lam Dong,9781.2,1321.84,135
70,Binh Phuoc,6873.56,1024.29,149
72,Tay Ninh,4041.65,1181.91,292
74,Binh Duong,2694.64,2596.79,964
75,Dong Nai,5863.62,3169.1,540
77,Ba Ria - Vung Tau,1982.56,1176.08,593
79,Ho Chi Minh,2095.39,9166.84,4375
80,Long An,4494.79,1725.75,384
82,Tien Giang,2556.36,1779.42,696
83,Ben Tre,2379.7,1295.7,544
84,Tra Vinh,2390.76,1018.63,426
86,Vinh Long,1525.73,1029.02,674
87,Dong Thap,3382.28,1601.31,473
89,An Giang,3536.83,1909.51,540
91,Kien Giang,6352.02,1752.32,276
92,Can Tho,1440.4,1246.99,866
93,Hau Giang,1622.23,729.89,450
94,Soc Trang,3298.2,1206.82,366
95,Bac Lieu,2667.88,918.51,344
96,Ca Mau,5274.51,1208.75,229
