Name,area,population,density
CA NUOC,330951.1,89202.89,269.53
Dong bang song Hong,21050.9,20525.36,975.03
Ha Noi,3323.6,6991.43,2103.57
Vinh Phuc,1236.5,1047.39,847.06
Bac Ninh,822.7,1104.69,1342.76
Quang Ninh,6102.3,1198.39,196.38
Hai Duong,1656,1767.83,1067.53
Hai Phuong,1523.9,1912.94,1255.29
Hung Yen,926,1162.91,1255.84
Thai Binh,1570,1806.48,1150.63
Ha Nam,860.5,800.81,930.63
Nam Dinh,1652.6,1811.5,1096.15
Ninh Binh,1376.7,920.99,668.98
Trung du va mien nui phia Bac,95272.3,11441.84,120.1
Ha Giang,7914.9,763.5,96.46
Cao Bang,6707.9,515.88,76.91
Bac Kan,4859.4,300.8,61.9
Tuyen Quang,5867.3,738.53,125.87
Lao Cai,6383.9,649.51,101.74
Yen Bai,6886.3,765.69,111.19
Thai Nguyen,3534.7,1149.08,325.09
Lang Son,8320.8,745.13,89.55
Bac Giang,3848.9,1607.77,417.72
Phu Tho,3533.4,1340.81,379.47
Dien Bien,9562.9,523.88,54.78
Lai Chau,9068.8,402.95,44.43
Son La,14174.4,1129.87,79.71
Hoa Binh,4608.7,808.43,175.41
Bac Trung Bo va Duyen hai mien Trung,95835.8,19253.84,200.9
Thanh Hoa,11132.2,3449.44,309.86
Nghe An,16490.9,3035.99,184.1
Ha Tinh,5997.8,1242.09,207.09
Quang Binh,8065.3,859.79,106.6
Quang Tri,4739.8,607.77,128.23
Thua Thien Hue,5033.2,1105.78,219.7
Da Nang,1285.4,996.29,775.08
Quang Nam,10438.4,1443.98,138.33
Quang Ngai,5153,1221.83,237.11
Binh Dinh,6050.6,1487.51,245.84
Phu Yen,5060.6,864.87,170.9
Khanh Hoa,5217.7,1177.6,225.69
Ninh Thuan,3358.3,571.31,170.12
Binh Thuan,7812.8,1189.59,152.26
Tay Nguyen,54641.1,5358.01,98.06
Kon Tum,9689.6,462.71,47.75
Gia Lai,15536.9,1359.97,87.53
Dak Lak,13125.4,1777.26,135.41
Dak Nong,6515.6,529.37,81.25
Lam Dong,9773.5,1228.71,125.72
Dong Nam Bo,23598,15371.24,651.38
Binh Phuoc,6871.5,911.35,132.63
Tay Ninh,4039.7,1103.41,273.14
Binh Duong,2694.4,1789.71,664.23
Dong Nai,5907.2,2719.05,460.29
Ba Ria - Vung Tau,1989.5,1057.84,531.71
Ho Chi Minh,2095.6,7789.87,3717.25
Dong bang song Cuu Long,40553.1,17252.6,425.43
Long An,4492.4,1549.76,344.97
Tien Giang,2508.3,1692.46,674.74
Ben Tre,2357.7,1266.73,537.28
Tra Vinh,2341.2,1005.12,429.32
Vinh Long,1504.9,1022.6,679.52
Dong Thap,3377,1646.17,487.46
An Giang,3536.7,2077.94,587.54
Kien Giang,6348.5,1698.15,267.49
Can Tho,1409,1200.93,852.33
Hau Giang,1602.5,750.73,468.47
Soc Trang,3311.6,1266.42,382.42
Bac Lieu,2468.7,872.14,353.28
Ca Mau,5294.9,1203.46,227.29
